ticker,company,country,exchange,theme,liquidity_tier
KOG.OL,Kongsberg Gruppen,Norway,Oslo Technology,Defense,high
SAAB-B.ST,Saab B,Sweden,Nasdaq Stockholm,Defense,high
NOVO-B.CO,Novo Nordisk B,Denmark,Nasdaq Copenhagen,Healthcare,high
NOD.OL,Nordic Semiconductor,Norway,Oslo Technology,Semiconductors,mid
