ticker,company,country,exchange,theme,liquidity_tier
EQNR.OL,Equinor,Norway,Oslo Energy,Energy,high
INVE-B.ST,Investor AB B,Sweden,Nasdaq Stockholm,Financials,high
NOVO-B.CO,Novo Nordisk B,Denmark,Nasdaq Copenhagen,Healthcare,high
NOKIA.HE,Nokia,Finland,Nasdaq Helsinki,Technology,high
